timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7389,-0.023804,-0.007813,1.006348,-0.671387,0.061035,-0.122070
7409,-0.024536,-0.009033,1.006226,-0.671387,0.000000,-0.122070
7429,-0.024658,-0.009277,1.005127,-0.732422,0.000000,-0.122070
7449,-0.023437,-0.009399,1.005493,-0.732422,0.061035,-0.244141
7469,-0.024048,-0.007935,1.005981,-0.671387,0.061035,-0.122070
7489,-0.024414,-0.009766,1.004639,-0.671387,0.000000,-0.122070
7509,-0.023560,-0.007568,1.005737,-0.732422,0.122070,-0.183105
7529,-0.024048,-0.008301,1.006104,-0.671387,0.000000,-0.122070
7549,-0.024780,-0.008911,1.005615,-0.610352,-0.122070,-0.183105
7569,-0.023560,-0.007813,1.004639,-0.671387,0.061035,-0.122070
7589,-0.023926,-0.008301,1.005005,-0.732422,0.061035,-0.244141
7609,-0.023926,-0.009521,1.004150,-0.732422,0.061035,-0.183105
7629,-0.022461,-0.007568,1.005981,-0.732422,0.000000,-0.183105
7649,-0.024658,-0.009277,1.005615,-0.671387,0.000000,-0.183105
7669,-0.024780,-0.008057,1.003418,-0.671387,0.061035,-0.183105
7689,-0.022217,-0.006348,1.006226,-0.671387,0.000000,-0.061035
7709,-0.024536,-0.008179,1.001953,-0.610352,-0.183105,-0.061035
7729,-0.024658,-0.008423,1.005249,-0.671387,0.061035,-0.183105
7749,-0.024048,-0.008179,1.005127,-0.732422,0.122070,-0.183105
7769,-0.023926,-0.008301,1.004883,-0.732422,0.061035,-0.061035
7789,-0.023560,-0.007324,1.005493,-0.671387,0.061035,-0.122070
7809,-0.024048,-0.008301,1.004028,-0.671387,0.061035,-0.122070
7829,-0.023437,-0.009766,1.005981,-0.671387,0.000000,-0.061035
7849,-0.023926,-0.008667,1.005981,-0.610352,-0.061035,-0.061035
7869,-0.023437,-0.008423,1.005249,-0.732422,0.061035,-0.183105
7889,-0.023804,-0.007935,1.004272,-0.671387,0.061035,-0.122070
7909,-0.023071,-0.008545,1.005615,-0.671387,0.000000,-0.122070
7929,-0.021606,-0.007813,1.007813,-0.732422,0.000000,-0.183105
7949,-0.024658,-0.008667,1.004517,-0.732422,0.000000,-0.183105
7969,-0.024048,-0.007935,1.004395,-0.732422,0.000000,-0.122070
7989,-0.023926,-0.008301,1.005371,-0.732422,0.000000,-0.122070
8009,-0.024536,-0.009155,1.005981,-0.671387,0.122070,-0.122070
8029,-0.024048,-0.009033,1.005127,-0.671387,0.000000,-0.061035
8049,-0.023682,-0.007568,1.006104,-0.671387,0.000000,-0.183105
8069,-0.024414,-0.009033,1.005859,-0.732422,0.122070,-0.122070
8089,-0.024414,-0.008301,1.004883,-0.732422,0.061035,-0.122070
8109,-0.023193,-0.007446,1.005005,-0.671387,-0.061035,-0.061035
8129,-0.024048,-0.008911,1.005371,-0.671387,0.000000,-0.122070
8149,-0.024048,-0.008423,1.005127,-0.732422,0.061035,-0.183105
8169,-0.024414,-0.008057,1.004639,-0.671387,0.061035,-0.122070
8189,-0.023315,-0.007202,1.005737,-0.671387,0.061035,-0.122070
8209,-0.024780,-0.009033,1.005493,-0.671387,0.061035,-0.061035
8229,-0.022827,-0.008179,1.006104,-0.671387,0.000000,-0.061035
8249,-0.024048,-0.009155,1.005249,-0.732422,0.000000,-0.183105
8269,-0.024414,-0.008789,1.005371,-0.671387,0.061035,-0.183105
8289,-0.022705,-0.006592,1.005005,-0.671387,0.000000,-0.122070
8309,-0.025146,-0.008789,1.005859,-0.610352,0.000000,-0.183105
8329,-0.023437,-0.008789,1.005737,-0.732422,0.122070,-0.244141
8349,-0.022949,-0.009155,1.005127,-0.610352,0.061035,-0.183105
8369,-0.023804,-0.007446,1.005005,-0.671387,0.000000,-0.122070
8389,-0.024048,-0.008423,1.004761,-0.732422,0.000000,-0.122070
8409,-0.023926,-0.007935,1.006104,-0.671387,0.000000,-0.122070
8429,-0.024658,-0.007813,1.004517,-0.671387,0.061035,-0.183105
8449,-0.023193,-0.009033,1.005615,-0.732422,0.000000,-0.183105
8469,-0.022217,-0.008179,1.005737,-0.732422,0.000000,-0.122070
8489,-0.024902,-0.009033,1.005493,-0.732422,0.061035,-0.183105
8509,-0.022583,-0.008545,1.005615,-0.732422,0.061035,-0.183105
8529,-0.023926,-0.008667,1.004272,-0.732422,0.061035,-0.244141
8549,-0.024902,-0.009033,1.005981,-0.732422,0.061035,-0.122070
8569,-0.022827,-0.007324,1.006104,-0.732422,0.122070,-0.183105
8589,-0.023437,-0.007446,1.005737,-0.732422,0.122070,-0.244141
8609,-0.023193,-0.008545,1.005005,-0.732422,0.000000,-0.183105
8629,-0.024292,-0.006470,1.005127,-0.732422,0.000000,-0.183105
8649,-0.023926,-0.007446,1.006226,-0.671387,0.061035,-0.183105
8669,-0.023926,-0.008057,1.004883,-0.671387,0.000000,-0.122070
8689,-0.024536,-0.009155,1.004883,-0.671387,0.061035,-0.122070
8709,-0.022461,-0.007202,1.005493,-0.732422,0.000000,-0.183105
8729,-0.024414,-0.008423,1.003784,-0.732422,0.000000,-0.122070
8749,-0.024658,-0.008301,1.005859,-0.671387,0.061035,-0.183105
8769,-0.024414,-0.008423,1.006104,-0.671387,0.061035,-0.183105
8789,-0.024414,-0.008179,1.005371,-0.671387,0.061035,-0.183105
8809,-0.024292,-0.008667,1.004150,-0.671387,0.000000,-0.183105
8829,-0.023682,-0.008301,1.006226,-0.610352,0.061035,-0.183105
8849,-0.023437,-0.008911,1.005371,-0.671387,0.061035,-0.122070
8869,-0.024536,-0.009399,1.005859,-0.732422,0.000000,-0.061035
8889,-0.023315,-0.008301,1.006226,-0.732422,0.000000,-0.244141
8909,-0.023682,-0.007202,1.004883,-0.671387,0.061035,-0.244141
8929,-0.024902,-0.009277,1.005249,-0.671387,0.061035,-0.244141
8949,-0.024536,-0.008911,1.004883,-0.732422,0.061035,-0.244141
8969,-0.024170,-0.008057,1.003540,-0.732422,0.000000,-0.122070
8989,-0.023193,-0.009033,1.005493,-0.671387,0.000000,-0.122070
9009,-0.023071,-0.008911,1.005493,-0.732422,0.000000,-0.122070
9029,-0.023193,-0.008301,1.004761,-0.671387,0.061035,-0.122070
9049,-0.022705,-0.008057,1.005493,-0.671387,0.000000,-0.122070
9069,-0.022949,-0.007324,1.005127,-0.732422,0.061035,-0.122070
9089,-0.024414,-0.007568,1.003784,-0.732422,0.000000,-0.122070
9109,-0.025391,-0.009644,1.004028,-0.671387,0.000000,-0.183105
9129,-0.023682,-0.008545,1.004028,-0.610352,0.061035,-0.122070
9149,-0.025024,-0.008789,1.004761,-0.671387,0.061035,-0.122070
9169,-0.023560,-0.008423,1.007202,-0.671387,0.000000,-0.183105
9189,-0.022827,-0.008667,1.005859,-0.732422,0.000000,-0.183105
9209,-0.024292,-0.008789,1.005615,-0.671387,0.061035,-0.061035
9229,-0.023926,-0.008789,1.004883,-0.671387,0.061035,-0.061035
9249,-0.022949,-0.009033,1.005005,-0.671387,0.061035,-0.183105
9269,-0.023437,-0.008789,1.006592,-0.610352,0.000000,-0.183105
9289,-0.024170,-0.009277,1.006104,-0.671387,0.000000,-0.244141
9309,-0.024536,-0.007813,1.005371,-0.732422,0.122070,-0.183105
9329,-0.023682,-0.008057,1.006104,-0.732422,0.122070,-0.122070
9349,-0.022949,-0.009155,1.005615,-0.671387,0.000000,-0.183105
9369,-0.023804,-0.008179,1.005005,-0.732422,0.000000,-0.122070
9389,-0.024536,-0.008301,1.004272,-0.671387,0.000000,-0.122070
9409,-0.025391,-0.008057,1.005249,-0.671387,0.061035,-0.122070
9429,-0.024048,-0.008789,1.005493,-0.671387,0.061035,-0.122070
9449,-0.024170,-0.008789,1.005371,-0.732422,0.061035,-0.122070
9469,-0.024170,-0.008667,1.004761,-0.732422,0.061035,-0.183105
9489,-0.023315,-0.008057,1.006714,-0.671387,0.061035,-0.183105
9509,-0.025146,-0.008667,1.005127,-0.610352,-0.061035,-0.122070
9529,-0.024780,-0.008301,1.003540,-0.610352,0.000000,-0.122070
9549,-0.022949,-0.008057,1.005371,-0.671387,0.000000,-0.183105
9569,-0.023804,-0.009521,1.005615,-0.732422,0.061035,-0.183105
9589,-0.024780,-0.008667,1.004761,-0.732422,0.122070,-0.183105
9609,-0.023682,-0.007446,1.004517,-0.671387,0.061035,-0.183105
9629,-0.023193,-0.008179,1.005127,-0.671387,0.000000,-0.183105
9649,-0.023193,-0.008911,1.005249,-0.610352,0.000000,-0.122070
9669,-0.024170,-0.007446,1.005615,-0.671387,0.000000,-0.122070
9689,-0.024292,-0.008911,1.005249,-0.732422,0.122070,-0.183105
